Time,X,Y,Theta,Mode
35,350,0,0,straight
35.1,351,0,0,straight
35.2,352,0,0,straight
35.3,353,0,0,straight
35.4,354,0,0,straight
35.5,355,0,0,straight
35.6,356,0,0,straight
35.7,357,0,0,straight
35.8,358,0,0,straight
35.9,359,0,0,straight
36,360,0,0,straight
36.1,361,0,0,straight
36.2,362,0,0,straight
36.3,363,0,0,straight
36.4,364,0,0,straight
36.5,365,0,0,straight
36.6,366,0,0,straight
36.7,367,0,0,straight
36.8,368,0,0,straight
36.9,369,0,0,straight
37,370,0,0,straight
37.1,371,0,0,straight
37.2,372,0,0,straight
37.3,373,0,0,straight
37.4,374,0,0,straight
37.5,375,0,0,straight
37.6,376,0,0,straight
37.7,377,0,0,straight
37.8,378,0,0,straight
37.9,379,0,0,straight
38,380,0,0,straight
38.1,381,0,0,straight
38.2,382,0,0,straight
38.3,383,0,0,straight
38.4,384,0,0,straight
38.5,385,0,0,straight
38.6,386,0,0,straight
38.7,387,0,0,straight
38.8,388,0,0,straight
38.9,389,0,0,straight
39,390,0,0,straight
39.1,391,0,0,straight
39.2,392,0,0,straight
39.3,393,0,0,straight
39.4,394,0,0,straight
39.5,395,0,0,straight
39.6,396,0,0,straight
39.7,397,0,0,straight
39.8,398,0,0,straight
39.9,399,0,0,straight
40,400,0,0,straight
40.1,401,0,0,straight
40.2,402,0,0,straight
40.3,403,0,0,straight
40.4,404,0,0,straight
40.5,405,0,0,straight
40.6,406,0,0,straight
40.7,407,0,0,straight
40.8,408,0,0,straight
40.9,409,0,0,straight
41,410,0,0,straight
41.1,411,0,0,straight
41.2,412,0,0,straight
41.3,413,0,0,straight
41.4,414,0,0,straight
41.5,415,0,0,straight
41.6,416,0,0,straight
41.7,417,0,0,straight
41.8,418,0,0,straight
41.9,419,0,0,straight
42,420,0,0,straight
42.1,421,0,0,straight
42.2,422,0,0,straight
42.3,423,0,0,straight
42.4,424,0,0,straight
42.5,425,0,0,straight
42.6,426,0,0,straight
42.7,427,0,0,straight
42.8,428,0,0,straight
42.9,429,0,0,straight
43,430,0,0,straight
43.1,431,0,0,straight
43.2,432,0,0,straight
43.3,433,0,0,straight
43.4,434,0,0,straight
43.5,435,0,0,straight
43.6,436,0,0,straight
43.7,437,0,0,straight
43.8,438,0,0,straight
43.9,439,0,0,straight
44,440,0,0,straight
44.1,441,0,0,straight
44.2,442,0,0,straight
44.3,443,0,0,straight
44.4,444,0,0,straight
44.5,445,0,0,straight
44.6,446,0,0,straight
44.7,447,0,0,straight
44.8,448,0,0,straight
44.9,449,0,0,straight
45,450,0,0,straight
45.1,451,0,0,straight
45.2,452,0,0,straight
45.3,453,0,0,straight
45.4,454,0,0,straight
45.5,455,0,0,straight
45.6,456,0,0,straight
45.7,457,0,0,straight
45.8,458,0,0,straight
45.9,459,0,0,straight
46,460,0,0,straight
46.1,461,0,0,straight
46.2,462,0,0,straight
46.3,463,0,0,straight
46.4,464,0,0,straight
46.5,465,0,0,straight
46.6,466,0,0,straight
46.7,467,0,0,straight
46.8,468,0,0,straight
46.9,469,0,0,straight
47,470,0,0,straight
47.1,471,0,0,straight
47.2,472,0,0,straight
47.3,473,0,0,straight
47.4,474,0,0,straight
47.5,475,0,0,straight
47.6,476,0,0,straight
47.7,477,0,0,straight
47.8,478,0,0,straight
47.9,479,0,0,straight
48,480,0,0,straight
48.1,481,0,0,straight
48.2,482,0,0,straight
48.3,483,0,0,straight
48.4,484,0,0,straight
48.5,485,0,0,straight
48.6,486,0,0,straight
48.7,487,0,0,straight
48.8,488,0,0,straight
48.9,489,0,0,straight
49,490,0,0,straight
49.1,491,0,0,straight
49.2,492,0,0,straight
49.3,493,0,0,straight
49.4,494,0,0,straight
49.5,495,0,0,straight
49.6,496,0,0,straight
49.7,497,0,0,straight
49.8,498,0,0,straight
49.9,499,0,0,straight
50,500,0,0,straight
50.1,501,0,0,straight
50.2,502,0,0,straight
50.3,503,0,0,straight
50.4,504,0,0,straight
50.5,505,0,0,straight
50.6,506,0,0,straight
50.7,507,0,0,straight
50.8,508,0,0,straight
50.9,509,0,0,straight
51,510,0,0,straight
51.1,511,0,0,straight
51.2,512,0,0,straight
51.3,513,0,0,straight
51.4,514,0,0,straight
51.5,515,0,0,straight
51.6,516,0,0,straight
51.7,517,0,0,straight
51.8,518,0,0,straight
51.9,519,0,0,straight
52,520,0,0,straight
52.1,521,0,0,straight
52.2,522,0,0,straight
52.3,523,0,0,straight
52.4,524,0,0,straight
